"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Above Gilmore","13E19	","Idaho","Snow Course/Aerial Marker","Lemhi","8289","44.45615","-113.30097","170602040101	",,"3-06-2023, 09:13 AM MST"
"Above Roland","15B07	","Idaho","Snow Course/Aerial Marker","Shoshone","4347","47.38507","-115.66405","170103040201	",,"3-06-2023, 09:13 AM MST"
"Allen Ranch","11G35	","Idaho","Snow Course/Aerial Marker","Caribou","6496","42.78735","-111.43125","170402070208	",,"3-06-2023, 09:13 AM MST"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	",,"3-06-2023, 09:13 AM MST"
"Bad Bear","15F02	","Idaho","Snow Course/Aerial Marker","Boise","4928","43.90129","-115.70731","170501120301	",,"3-06-2023, 09:13 AM MST"
"Badger Gulch","14G03	","Idaho","Snow Course/Aerial Marker","Cassia","6756","42.09762","-114.17287","170402110302	",,"3-06-2023, 09:13 AM MST"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	",,"3-06-2023, 09:13 AM MST"
"Battle Creek AM","16G09	","Idaho","Snow Course/Aerial Marker","Owyhee","5710","42.47742","-116.32585","170501040905	",,"3-06-2023, 09:13 AM MST"
"Bear Basin","319	","Idaho","SNOTEL","Adams","5350","44.95222","-116.14293","170602100104	",,"3-06-2023, 09:13 AM MST"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7900","43.74367","-113.93797","170402180101	",,"3-06-2023, 09:13 AM MST"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	",,"3-06-2023, 09:13 AM MST"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	",,"3-06-2023, 09:13 AM MST"
"Benton Meadow","16A02	","Idaho","Snow Course/Aerial Marker","Bonner","2375","48.35095","-116.83633","170102150703	",,"3-06-2023, 09:13 AM MST"
"Benton Spring","16A03	","Idaho","Snow Course/Aerial Marker","Bonner","4777","48.3549","-116.76855","170102150703	",,"3-06-2023, 09:13 AM MST"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	",,"3-06-2023, 09:13 AM MST"
"Big Springs","11E09	","Idaho","Snow Course/Aerial Marker","Fremont","6395","44.48275","-111.27465","170402020303	",,"3-06-2023, 09:13 AM MST"
"Blue Ridge","11F17	","Idaho","Snow Course/Aerial Marker","Bingham","6870","43.20603","-111.856","170402070405	",,"3-06-2023, 09:13 AM MST"
"Bogus Basin","16F02	","Idaho","Snow Course/Aerial Marker","Boise","6340","43.764","-116.097","170501220201	",,"3-06-2023, 09:13 AM MST"
"Bogus Basin","978	","Idaho","SNOTEL","Boise","6340","43.76377","-116.09685","170501220201	",,"3-06-2023, 09:13 AM MST"
"Bogus Basin Road","16F04	","Idaho","Snow Course/Aerial Marker","Boise","5568","43.73333","-116.12778","170501140101	",,"3-06-2023, 09:13 AM MST"
"Bone","11F08	","Idaho","Snow Course/Aerial Marker","Bonneville","6168","43.3042","-111.79087","170402050306	",,"3-06-2023, 09:13 AM MST"
"Bostetter R.S.","359	","Idaho","SNOTEL","Cassia","7500","42.16442","-114.19272","170402120201	",,"3-06-2023, 09:13 AM MST"
"Boy Scout Camp","13G02	","Idaho","Snow Course/Aerial Marker","Cassia","7750","42.21844","-113.6738","170402100601	",,"3-06-2023, 09:13 AM MST"
"Brundage Reservoir","370	","Idaho","SNOTEL","Adams","6250","45.04315","-116.13253","170602100104	",,"3-06-2023, 09:13 AM MST"
